"ballot_measure_id","support_oppose","text_of_argument","author","source","date_created"
"28073","Support","""Donald Trump has unapologetically targeted California time and again over the past six months - targeting workers who power our economy, targeting California’s best in the world UC system, targeting the healthcare systems that Californians rely on when they get sick. Realizing how unpopular these actions are, Trump and Republicans now want to rig our democracy to guarantee they remain in power. We did not choose this fight, we do not want this fight, but with our democracy on the line, California cannot run away from this fight. Enough is enough. Trump and Republicans still have the chance to back away from their un-American power grab. California’s new maps will only go into effect if Republicans move forward with their reckless plans. As Californians, we do not bend the knee to those with authoritarian tendencies. If they don’t back down, California will fight back – and we will win.""","State Asm. Marc Berman (D-23)","https://goldrushcam.com/sierrasuntimes/index.php/news/local-news/70102-assemblymember-marc-berman-and-california-democrats-say-no-to-president-trump-and-texas-republicans#google_vignette","2025-08-19"
"28073","Support","""You don’t go into a fight where the other side has a machine gun and respond with a butter knife. The cost of this is a very small percentage compared to what is sort of at risk if we continue to allow a Congress in place that is really following the direction of an administration that’s aimed at punishing California.""","State Asm. Rick Chavez Zbur (D-51)","https://www.sacbee.com/news/politics-government/capitol-alert/article311584911.html","2025-08-19"
"28073","Oppose","""It’s about power. We know that it’s about power on both sides, rigging congressional districts to get partisan results. That’s what a gerrymander is. … You move forward fighting fire with fire, and what happens? You burn it all down. In this case, it affects our most fundamental American principle: representation.""","Assembly Minority Leader James Gallagher (R-3)","https://www.nytimes.com/2025/08/21/us/politics/california-newsom-redistricting-texas.html","2025-08-19"
"28073","Oppose","""Democratic politicians should seek to channel voter outrage at Texas Republicans’ efforts to game the system into election results. By doing so, they could flip hitherto unreachable seats currently held by Republicans and overcome the Texas gerrymander. But if Democratic politicians try to gerrymander California, then they lose the moral high ground. ... If our nation devolves into competing efforts to gerrymander, we will lose the ability to fight back against overreach by either party. Sadly, instead of focusing on flipping seats, Governor Newsom has chosen to undermine one of California’s most significant reforms.""","Charles T. Munger Jr.","https://www.nytimes.com/2025/09/02/opinion/gerrymander-democrats-california.html","2025-09-02"
"28073","Support","""California will not sit idle as Trump and his Republican lapdogs shred our country’s democracy before our very eyes. In just six months, Trump’s unchecked power has cost Americans billions and taken an ax to the greatest democracy we’ve ever known. This moment calls for urgency and action – that is what we are putting before voters this November, a chance to fight back against his anti-American ways.""","Gov. Gavin Newsom (D)","https://www.gov.ca.gov/2025/08/14/governor-newsom-launches-statewide-response-to-trump-rigging-texas-elections/","2025-09-02"
"28073","Oppose","""California voters have already said no to Prop 50. They did that when they put the Citizens Redistricting Commission on the ballot back in 2010 and passed it overwhelmingly. California voters believe that the power to draw district lines should reside with the people. It should not be given to politicians in Sacramento where they get to choose who their constituents are. Constituents should be choosing their representatives.""","Jessica Millan Patterson, former chairperson of the California Republican Party","https://www.kget.com/inside-california-politics/voters-already-said-no-former-california-gop-chair-leading-fight-against-prop-50/","2025-09-08"
"28073","Support","""Over the past several months, we have seen the Trump administration freeze funds for critical education programs, cut healthcare for millions of our students and their families, attempt to dismantle the Department of Education, and pass a new voucher program designed to destroy public education entirely. It is clear that we are also now facing an unprecedented power grab by Texas and other states to steal congressional seats and rig the 2026 election in favor of the current federal administration. This is a direct and urgent attack on our democracy. If this power grab goes unchecked, we will only see more drastic cuts to public education, healthcare, and other critical services and a further erosion of basic civil and human rights in our communities.""","David B. Goldberg, president of the California Teachers Association","https://www.gov.ca.gov/2025/08/14/governor-newsom-launches-statewide-response-to-trump-rigging-texas-elections/","2025-09-08"
"27548","Support","""For clarification, photo ID is already required by Wisconsin State Statute. But a ‘yes’ vote would amend the Wisconsin Constitution to include this requirement, which will further protect the integrity of the voting system from our leftist-activist WI Supreme Court.""","State Rep. Rob Kreibich (R-28)","https://www.wispolitics.com/2025/rob-kreibich-photo-id-protects-your-vote/","2025-02-05"
"27548","Support","""If we wait on something like this, then (the court) could rule that the photo ID is unconstitutional, and then it would be a harder time.""","Rep. Patrick Snyder (R-85)","https://www.wpr.org/news/wisconsin-legislature-constitution-voter-identification-ballot","2025-01-15"
"27548","Oppose","""A number of Wisconsin residents who have a disability don’t drive, they don’t have a driver’s license, they may not have other photo ID required to vote. Positioning the DMV as the primary place for Wisconsinites to get a photo ID increases barriers for a number of people.""","Lisa Hassenstab, the public policy manager at Disability Rights Wisconsin","https://www.wpr.org/news/wisconsin-legislature-constitution-voter-identification-ballot","2025-01-15"
"27548","Oppose","""If the proposed constitutional text is enacted as currently drafted, the legislature would be precluded from permitting additional categories of photo identification for voting purposes in the future, such as an ID for a federally recognized tribe outside of Wisconsin; an out-of-state driver’s license or identification card; employer IDs; a membership or organization ID; or municipal IDs. The permanency of a constitutional amendment also ties the hands of the legislature to respond to future advancements in technology as methods of identification evolve.""","ACLU of Wisconsin","https://docs.legis.wisconsin.gov/misc/lc/hearing_testimony_and_materials/2025/sjr2/sjr0002_2025_01_07.pdf","2025-01-15"
"27548","Support","""I don’t think there’s anything wrong with saying that (you have to) have something to identify who you are and that you’re really that person and that you’re eligible to vote.""","Sen. Van Wanggaard (R-21)","https://www.wpr.org/news/wisconsin-legislature-constitution-voter-identification-ballot","2025-01-15"
"27548","Oppose","""The amendment makes it clear: You can be a qualified elector and be deprived of your right to vote. Think about the implications of this. The Korean war veteran, in his 90s, disabled and living in Iron County, would clearly be a qualified elector. However, he’s homebound, his license has expired and therefore he does not have a valid ID. This patriot who fought for our country would be denied his right to vote under this Republican voter ID amendment.""","State Rep. Andrew Hysell (D-48)","https://captimes.com/opinion/guest-columns/opinion-right-to-vote-chipped-away-one-piece-at-a-time/article_9066d8d0-efc4-11ef-8b0c-330fab3b4748.html","2025-03-03"
"27548","Support","""This is about making sure that a rogue Court cannot strike down a common sense law that is supported by over 80% of Americans from across the political spectrum, so rather than trying to scare Wisconsinites with outlandish claims of voter suppression, and rather than assuming that Wisconsin voters are not smart enough to obtain an ID, I encourage our colleagues… to actually look at the data.""","State Rep. Amanda Nedweski (R-32)","https://wisconsinexaminer.com/2025/01/15/assembly-passes-voter-id-constitutional-amendment-proposal-now-it-goes-to-voters-in-april/","2025-03-11"
"27548","Oppose","""I think it's something that we have proven. It's already state law and my position is that we are essentially wasting everybody's time by adding this to the ballot. I think we've had five of these already, so it's a pattern and it's a politically motivated pattern.""","State Rep. Lee Snodgrass (D-52)","https://fox11online.com/news/election/wi-voters-face-constitutional-amendment-about-voter-id-on-april-ballot-league-of-women-voters-lee-snograss-dawn-smith-scott-krug-election-day-spring-election?photo=1","2025-03-18"
"27548","Support","""Let the legislators argue about the different details of it throughout the next few years or decades to figure out what the exceptions should be, what IDs we want to use. And that opens conversation for us to figure out exactly what the future of photo ID can be -- whether it's digital, whether we have different implementation of different IDs. That leaves it open for us to have that discussion.""","State Rep. Scott Krug (R-72)","https://fox11online.com/news/election/wi-voters-face-constitutional-amendment-about-voter-id-on-april-ballot-league-of-women-voters-lee-snograss-dawn-smith-scott-krug-election-day-spring-election?photo=1","2025-03-18"
"27945","Oppose","""Not all families need free meals. Given the economy, I have to ask: What are the must-haves versus want-to-haves? I don't believe the majority of Colorado's taxpayers will have the appetite for this this year.""","State Rep. Lori Garcia Sander (R-65)","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Oppose","""Not all families need free meals. Given the economy, I have to ask: What are the must-haves versus want-to-haves? I don't believe the majority of Colorado's taxpayers will have the appetite for this this year.""","State Rep. Lori Garcia Sander (R-65)","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Oppose","""Not all families need free meals. Given the economy, I have to ask: What are the must-haves versus want-to-haves? I don't believe the majority of Colorado's taxpayers will have the appetite for this this year.""","State Rep. Lori Garcia Sander (R-65)","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Support","""Colorado children should never have to worry about where their next meal is coming from. ... At a time when Congressional Republicans are considering deep cuts to nutrition assistance, we should be doing all we can to make sure our students have food to eat in school.""","State Rep. Lorena Garcia (D-32)","https://www.cohousedems.com/news/bill-to-continue-healthy-school-meals-for-all-program-becomes-law","2025-05-30"
"27945","Support","""Colorado children should never have to worry about where their next meal is coming from. ... At a time when Congressional Republicans are considering deep cuts to nutrition assistance, we should be doing all we can to make sure our students have food to eat in school.""","State Rep. Lorena Garcia (D-32)","https://www.cohousedems.com/news/bill-to-continue-healthy-school-meals-for-all-program-becomes-law","2025-05-30"
"27945","Support","""Colorado children should never have to worry about where their next meal is coming from. ... At a time when Congressional Republicans are considering deep cuts to nutrition assistance, we should be doing all we can to make sure our students have food to eat in school.""","State Rep. Lorena Garcia (D-32)","https://www.cohousedems.com/news/bill-to-continue-healthy-school-meals-for-all-program-becomes-law","2025-05-30"
"27945","Support","""It's clear that the only way to provide stability for this program in uncertain times is to raise additional funds and build a reserve to help weather federal policy changes while providing meals to students without interruption.""","Anya Rose, Director of Public Policy for Hunger Free Colorado","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Support","""It's clear that the only way to provide stability for this program in uncertain times is to raise additional funds and build a reserve to help weather federal policy changes while providing meals to students without interruption.""","Anya Rose, Director of Public Policy for Hunger Free Colorado","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Support","""It's clear that the only way to provide stability for this program in uncertain times is to raise additional funds and build a reserve to help weather federal policy changes while providing meals to students without interruption.""","Anya Rose, Director of Public Policy for Hunger Free Colorado","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Support","""We know the massive impact Healthy School Meals for All can have on the health of our local food system and everyone who touches it. There is so much potential to continue to shape the future of our food system — for our kids, our planet and our local economies.""","Jen O’Neal, Co-Founder of Common Harvest Colorado","https://coloradocommunitymedia.com/2024/12/19/advocates-push-for-full-funding-of-colorados-healthy-school-meals-for-all-program/","2025-05-30"
"27945","Support","""We know the massive impact Healthy School Meals for All can have on the health of our local food system and everyone who touches it. There is so much potential to continue to shape the future of our food system — for our kids, our planet and our local economies.""","Jen O’Neal, Co-Founder of Common Harvest Colorado","https://coloradocommunitymedia.com/2024/12/19/advocates-push-for-full-funding-of-colorados-healthy-school-meals-for-all-program/","2025-05-30"
"27945","Support","""We know the massive impact Healthy School Meals for All can have on the health of our local food system and everyone who touches it. There is so much potential to continue to shape the future of our food system — for our kids, our planet and our local economies.""","Jen O’Neal, Co-Founder of Common Harvest Colorado","https://coloradocommunitymedia.com/2024/12/19/advocates-push-for-full-funding-of-colorados-healthy-school-meals-for-all-program/","2025-05-30"
"27945","Support","""This bill directly supports food service workers by providing direct funding that school districts can use for wage increases. We cannot have a strong, sustainable school meal program without a strong, sustainable workforce.""","Zander Kaschub, President of Jeffco Education Support Professionals Association","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Support","""This bill directly supports food service workers by providing direct funding that school districts can use for wage increases. We cannot have a strong, sustainable school meal program without a strong, sustainable workforce.""","Zander Kaschub, President of Jeffco Education Support Professionals Association","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Support","""This bill directly supports food service workers by providing direct funding that school districts can use for wage increases. We cannot have a strong, sustainable school meal program without a strong, sustainable workforce.""","Zander Kaschub, President of Jeffco Education Support Professionals Association","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27945","Support","""Every single Colorado kid, regardless of their income, should be able to eat a healthy, filling breakfast and lunch without worrying about the cost. The Healthy School Meals for All program has been extremely successful in Colorado – it has reduced the stigma associated with free and reduced lunch, helped Colorado kids succeed, and allowed families breathe a little easier with less strain on their budgets. This bill empowers Colorado voters to decide on the future of this beneficial program.""","State Sen. Katie Wallace (D-17)","https://www.senatedems.co/newsroom/bill-to-continue-healthy-school-meals-for-all-program-passes-senate","2025-06-06"
"27945","Support","""Every single Colorado kid, regardless of their income, should be able to eat a healthy, filling breakfast and lunch without worrying about the cost. The Healthy School Meals for All program has been extremely successful in Colorado – it has reduced the stigma associated with free and reduced lunch, helped Colorado kids succeed, and allowed families breathe a little easier with less strain on their budgets. This bill empowers Colorado voters to decide on the future of this beneficial program.""","State Sen. Katie Wallace (D-17)","https://www.senatedems.co/newsroom/bill-to-continue-healthy-school-meals-for-all-program-passes-senate","2025-06-06"
"27945","Support","""Every single Colorado kid, regardless of their income, should be able to eat a healthy, filling breakfast and lunch without worrying about the cost. The Healthy School Meals for All program has been extremely successful in Colorado – it has reduced the stigma associated with free and reduced lunch, helped Colorado kids succeed, and allowed families breathe a little easier with less strain on their budgets. This bill empowers Colorado voters to decide on the future of this beneficial program.""","State Sen. Katie Wallace (D-17)","https://www.senatedems.co/newsroom/bill-to-continue-healthy-school-meals-for-all-program-passes-senate","2025-06-06"
"27946","Support","""This bill directly supports food service workers by providing direct funding that school districts can use for wage increases. We cannot have a strong, sustainable school meal program without a strong, sustainable workforce.""","Zander Kaschub, President of Jeffco Education Support Professionals Association","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27946","Support","""This bill directly supports food service workers by providing direct funding that school districts can use for wage increases. We cannot have a strong, sustainable school meal program without a strong, sustainable workforce.""","Zander Kaschub, President of Jeffco Education Support Professionals Association","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27946","Oppose","""Not all families need free meals. Given the economy, I have to ask: What are the must-haves versus want-to-haves? I don't believe the majority of Colorado's taxpayers will have the appetite for this this year.""","State Rep. Lori Garcia Sander (R-65)","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27946","Oppose","""Not all families need free meals. Given the economy, I have to ask: What are the must-haves versus want-to-haves? I don't believe the majority of Colorado's taxpayers will have the appetite for this this year.""","State Rep. Lori Garcia Sander (R-65)","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27946","Support","""Colorado children should never have to worry about where their next meal is coming from. ... At a time when Congressional Republicans are considering deep cuts to nutrition assistance, we should be doing all we can to make sure our students have food to eat in school.""","State Rep. Lorena Garcia (D-32)","https://www.cohousedems.com/news/bill-to-continue-healthy-school-meals-for-all-program-becomes-law","2025-05-30"
"27946","Support","""Colorado children should never have to worry about where their next meal is coming from. ... At a time when Congressional Republicans are considering deep cuts to nutrition assistance, we should be doing all we can to make sure our students have food to eat in school.""","State Rep. Lorena Garcia (D-32)","https://www.cohousedems.com/news/bill-to-continue-healthy-school-meals-for-all-program-becomes-law","2025-05-30"
"27946","Support","""It's clear that the only way to provide stability for this program in uncertain times is to raise additional funds and build a reserve to help weather federal policy changes while providing meals to students without interruption.""","Anya Rose, Director of Public Policy for Hunger Free Colorado","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27946","Support","""It's clear that the only way to provide stability for this program in uncertain times is to raise additional funds and build a reserve to help weather federal policy changes while providing meals to students without interruption.""","Anya Rose, Director of Public Policy for Hunger Free Colorado","https://www.coloradopolitics.com/education/colorado-universal-school-meals-funding-shortfall/article_a40ad95a-fb6c-11ef-bd24-5f5ee09ae139.html","2025-05-30"
"27946","Support","""We know the massive impact Healthy School Meals for All can have on the health of our local food system and everyone who touches it. There is so much potential to continue to shape the future of our food system — for our kids, our planet and our local economies.""","Jen O’Neal, Co-Founder of Common Harvest Colorado","https://coloradocommunitymedia.com/2024/12/19/advocates-push-for-full-funding-of-colorados-healthy-school-meals-for-all-program/","2025-05-30"
"27946","Support","""We know the massive impact Healthy School Meals for All can have on the health of our local food system and everyone who touches it. There is so much potential to continue to shape the future of our food system — for our kids, our planet and our local economies.""","Jen O’Neal, Co-Founder of Common Harvest Colorado","https://coloradocommunitymedia.com/2024/12/19/advocates-push-for-full-funding-of-colorados-healthy-school-meals-for-all-program/","2025-05-30"
"27946","Support","""Every single Colorado kid, regardless of their income, should be able to eat a healthy, filling breakfast and lunch without worrying about the cost. The Healthy School Meals for All program has been extremely successful in Colorado – it has reduced the stigma associated with free and reduced lunch, helped Colorado kids succeed, and allowed families breathe a little easier with less strain on their budgets. This bill empowers Colorado voters to decide on the future of this beneficial program.""","State Sen. Katie Wallace (D-17)","https://www.senatedems.co/newsroom/bill-to-continue-healthy-school-meals-for-all-program-passes-senate","2025-06-06"
"27946","Support","""Every single Colorado kid, regardless of their income, should be able to eat a healthy, filling breakfast and lunch without worrying about the cost. The Healthy School Meals for All program has been extremely successful in Colorado – it has reduced the stigma associated with free and reduced lunch, helped Colorado kids succeed, and allowed families breathe a little easier with less strain on their budgets. This bill empowers Colorado voters to decide on the future of this beneficial program.""","State Sen. Katie Wallace (D-17)","https://www.senatedems.co/newsroom/bill-to-continue-healthy-school-meals-for-all-program-passes-senate","2025-06-06"
"27597","Support","“No matter our religion or background, we all deserve a life of safety, dignity, and freedom—especially for our families. Yet, in the past year, the Israeli military has killed tens of thousands of Palestinians in Gaza—most of them civilians, including more than 15,000 children. While many of us are struggling to make ends meet and put food on the table, billions of U.S. taxpayer dollars are being used to fund the Israeli military’s war crimes. Our public resources should go to helping our communities, not footing the bill for death and destruction across the world. Overwhelmingly, Americans want an arms embargo on Israel. It’s against Federal law to provide weapons to countries violating human rights. Pittsburgh’s Pension Fund even has an investment policy that says it should reduce arms production and promote human dignity. When we can’t trust our elected leaders to follow their own guidelines, we will put it to a vote. It’s time we bring public policy in line with our values and demand transparency and accountability for the use of our resources.”","Not On Our Dime Pittsburgh","https://notonourdimepgh.com/","2025-02-13"
"27597","Support","“No matter our religion or background, we all deserve a life of safety, dignity, and freedom—especially for our families. Yet, in the past year, the Israeli military has killed tens of thousands of Palestinians in Gaza—most of them civilians, including more than 15,000 children. While many of us are struggling to make ends meet and put food on the table, billions of U.S. taxpayer dollars are being used to fund the Israeli military’s war crimes. Our public resources should go to helping our communities, not footing the bill for death and destruction across the world. Overwhelmingly, Americans want an arms embargo on Israel. It’s against Federal law to provide weapons to countries violating human rights. Pittsburgh’s Pension Fund even has an investment policy that says it should reduce arms production and promote human dignity. When we can’t trust our elected leaders to follow their own guidelines, we will put it to a vote. It’s time we bring public policy in line with our values and demand transparency and accountability for the use of our resources.”","Not On Our Dime Pittsburgh","https://notonourdimepgh.com/","2025-02-13"
"27597","Support","“No matter our religion or background, we all deserve a life of safety, dignity, and freedom—especially for our families. Yet, in the past year, the Israeli military has killed tens of thousands of Palestinians in Gaza—most of them civilians, including more than 15,000 children. While many of us are struggling to make ends meet and put food on the table, billions of U.S. taxpayer dollars are being used to fund the Israeli military’s war crimes. Our public resources should go to helping our communities, not footing the bill for death and destruction across the world. Overwhelmingly, Americans want an arms embargo on Israel. It’s against Federal law to provide weapons to countries violating human rights. Pittsburgh’s Pension Fund even has an investment policy that says it should reduce arms production and promote human dignity. When we can’t trust our elected leaders to follow their own guidelines, we will put it to a vote. It’s time we bring public policy in line with our values and demand transparency and accountability for the use of our resources.”","Not On Our Dime Pittsburgh","https://notonourdimepgh.com/","2025-02-13"
"27597","Oppose","“We can’t subject our residents to the threat of service disruptions because we can’t contract with a mainstream corporation that happens to operate in a country that some don’t like.”","Councilmember Erika Strasburger","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
"27597","Oppose","“We can’t subject our residents to the threat of service disruptions because we can’t contract with a mainstream corporation that happens to operate in a country that some don’t like.”","Councilmember Erika Strasburger","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
"27597","Oppose","“We can’t subject our residents to the threat of service disruptions because we can’t contract with a mainstream corporation that happens to operate in a country that some don’t like.”","Councilmember Erika Strasburger","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
"27597","Oppose","""I am troubled by the potential impact this flood of dangerous lies will have on both the physical and emotional safety of our Jewish community as well as on the sense of unity that has long defined Pittsburgh as the 'City of Bridges.'""","Julie Paris, regional director of StandWithUs Mid-Atlantic","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
"27597","Oppose","""I am troubled by the potential impact this flood of dangerous lies will have on both the physical and emotional safety of our Jewish community as well as on the sense of unity that has long defined Pittsburgh as the 'City of Bridges.'""","Julie Paris, regional director of StandWithUs Mid-Atlantic","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
"27597","Oppose","""I am troubled by the potential impact this flood of dangerous lies will have on both the physical and emotional safety of our Jewish community as well as on the sense of unity that has long defined Pittsburgh as the 'City of Bridges.'""","Julie Paris, regional director of StandWithUs Mid-Atlantic","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
"27597","Oppose","""Last year, in response to a similar proposed referendum, the Pittsburgh Firefighters noted that the primary vendor for our fire safety equipment is a local company which would have been barred from doing business with the City. This referendum goes even further and, if passed, will cost Pittsburgh taxpayers, both in having to pay higher costs and limiting the available source of products.""","Corey O’Connor, controller of Allegheny County","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
"27597","Oppose","""Last year, in response to a similar proposed referendum, the Pittsburgh Firefighters noted that the primary vendor for our fire safety equipment is a local company which would have been barred from doing business with the City. This referendum goes even further and, if passed, will cost Pittsburgh taxpayers, both in having to pay higher costs and limiting the available source of products.""","Corey O’Connor, controller of Allegheny County","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
"27597","Oppose","""Last year, in response to a similar proposed referendum, the Pittsburgh Firefighters noted that the primary vendor for our fire safety equipment is a local company which would have been barred from doing business with the City. This referendum goes even further and, if passed, will cost Pittsburgh taxpayers, both in having to pay higher costs and limiting the available source of products.""","Corey O’Connor, controller of Allegheny County","https://jewishchronicle.timesofisrael.com/mayor-gainey-signs-one-anti-bds-referendum-question/","2025-02-13"
